Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","BUZ-TH_BD9.0-P4.00-D0.6-FD",225.550000,-82.050000,0.000000,top
"C1","100nF","C_0603_1608Metric",220.595000,-69.800000,180.000000,top
"C2","1uF","C_0603_1608Metric",226.650000,-70.010000,180.000000,top
"C3","100nF","C_0603_1608Metric",228.100000,-75.880000,-90.000000,top
"C4","100nF","C_0603_1608Metric",230.425000,-75.130000,0.000000,top
"C5","100nF","C_0603_1608Metric",240.540000,-69.975000,90.000000,top
"C6","100nF","C_0603_1608Metric",226.650000,-68.450000,180.000000,top
"C7","100nF","C_0603_1608Metric",226.650000,-66.900000,180.000000,top
"C8","4.7uF","C_0805_2012Metric",222.090000,-72.290000,180.000000,top
"CP1","10u","C_0805_2012Metric",245.030000,-79.700000,-90.000000,top
"CP2","10u","C_0805_2012Metric",248.150000,-83.605000,180.000000,top
"CP3","10u","C_0805_2012Metric",242.725000,-79.700000,90.000000,top
"D1","D_Schottky","D_SOD-123",249.100000,-74.655000,90.000000,top
"J5","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",136.220000,-89.040000,90.000000,top
"J6","iButton Connector","PinHeader_1x02_P2.54mm_Vertical",151.660000,-63.800000,90.000000,top
"J7","MicroSD Card","PinHeader_1x06_P2.54mm_Vertical",146.350000,-104.700000,-90.000000,top
"J8","Switch","PinHeader_1x02_P2.54mm_Vertical",152.760000,-128.200000,90.000000,top
"J14","Conn_01x13","PinHeader_1x13_P2.54mm_Vertical",173.815000,-80.600000,90.000000,top
"J15","Conn_01x18","Flipper_Zero_Straight",218.715000,-63.830000,180.000000,top
"J16","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",224.025000,-64.525000,90.000000,top
"R1","47","R_0603_1608Metric",203.480000,-67.350000,90.000000,top
"R2","47","R_0603_1608Metric",165.370000,-67.350000,90.000000,top
"R3","47","R_0603_1608Metric",175.530000,-67.350000,-90.000000,top
"R4","47","R_0603_1608Metric",180.610000,-67.345000,-90.000000,top
"R5","47","R_0603_1608Metric",162.850000,-67.340000,-90.000000,top
"R6","47","R_0603_1608Metric",172.980000,-67.345000,-90.000000,top
"R7","47","R_0603_1608Metric",170.460000,-67.345000,-90.000000,top
"R8","47","R_0603_1608Metric",211.090000,-67.360000,90.000000,top
"R9","47","R_0603_1608Metric",213.630000,-67.360000,90.000000,top
"R10","47","R_0603_1608Metric",216.180000,-67.350000,90.000000,top
"R11","47","R_0603_1608Metric",208.560000,-67.350000,90.000000,top
"R12","47","R_0603_1608Metric",206.020000,-67.350000,90.000000,top
"R13","47","R_0603_1608Metric",167.900000,-67.350000,90.000000,top
"R14","47","R_0603_1608Metric",146.360000,-100.225000,90.000000,top
"R15","47","R_0603_1608Metric",143.810000,-100.215000,90.000000,top
"R16","47","R_0603_1608Metric",141.270000,-100.215000,90.000000,top
"R17","47","R_0603_1608Metric",138.730000,-100.220000,90.000000,top
"R18","5.1k","R_0603_1608Metric",152.750000,-124.840000,-90.000000,top
"R19","47","R_0603_1608Metric",223.550000,-75.770000,-90.000000,top
"R20","47","R_0603_1608Metric",222.450000,-90.930000,180.000000,top
"R21","47","R_0603_1608Metric",138.770000,-92.530000,90.000000,top
"R22","10","R_0603_1608Metric",225.475000,-72.290000,180.000000,top
"R23","0","R_0402_1005Metric",227.770000,-65.120000,180.000000,top
"RP1","5.1k","R_0603_1608Metric",238.700000,-76.625000,0.000000,top
"RU1","5.1k","R_0603_1608Metric",243.675000,-73.300000,90.000000,top
"RU2","5.1k","R_0603_1608Metric",242.075000,-73.295000,-90.000000,top
"RX1","47","R_0603_1608Metric",231.170000,-77.440000,-90.000000,top
"RX2","47","R_0603_1608Metric",239.400000,-64.190000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",243.350000,-122.250000,90.000000,top
"SW2","SW_Push","SW_PUSH_6mm",232.850000,-91.250000,0.000000,top
"SW3","SW_Push","SW_PUSH_6mm",224.250000,-99.750000,0.000000,top
"SW4","SW_Push","SW_PUSH_6mm",241.250000,-99.750000,0.000000,top
"SW5","SW_Push","SW_PUSH_6mm",232.850000,-108.250000,0.000000,top
"SW6","SW_Push","SW_PUSH_6mm",224.250000,-122.300000,90.000000,top
"SW7","SW_Push","SW_PUSH_6mm",233.750000,-105.250000,90.000000,top
"U1","STM32WB5MMGH6TR","LCC-LGA-86_L11.0-W7.3_STM32WB5MMGH6TR",233.700000,-67.870000,0.000000,top
"UP1","AP2112K-3.3","SOT-23-5",248.150000,-79.892500,-90.000000,top
"UP2","AP2112K-3.3","SOT-23-5",239.650000,-79.712500,-90.000000,top
"USB1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",246.650000,-66.180000,180.000000,top
